trial,size_fraction,frames_fraction,window_size,window_step_size,num_frames,size_x,size_y,num_windows_x,num_windows_y,total_time,generate_rgb_time,window_ttcf_time,extract_embedding_time,process_windows_time,create_model_time,create_windows_time,img_stk_nbytes,low_res_feature_map_nbytes,window_ttcf_nbytes,total_except_img_stk_size,total_size
6,0.2,0.9,35,10,47,377,377,35,47,32.28819131851196,13.692779302597046,1.1205673217773438e-05,11.097480058670044,7.027178049087524,0.14785194396972656,0.007956504821777344,0.026720252,0.0068992,0.0216482,0.0285474,0.055267652
6,0.2,0.9,95,10,47,377,377,29,47,29.00192642211914,11.713000059127808,3.337860107421875e-06,7.781327724456787,8.872133255004883,0.2225029468536377,0.008977890014648438,0.026720252,0.004736512,0.014862152,0.019598664,0.046318916
6,0.2,0.9,125,10,47,377,377,26,47,27.97206735610962,12.561405658721924,1.1682510375976562e-05,6.282679557800293,8.608682632446289,0.1572093963623047,0.008127450942993164,0.026720252,0.003807232,0.011946272,0.015753504,0.042473756
6,0.2,0.2,65,10,10,377,377,32,10,35.60280108451843,14.956467151641846,1.1205673217773438e-05,13.621526002883911,6.4113757610321045,0.18375396728515625,0.0021486282348632812,0.00568516,0.005767168,0.0008192,0.006586368,0.012271528
6,0.2,0.2,35,10,10,377,377,35,10,33.48038291931152,15.775136470794678,9.5367431640625e-06,11.181897640228271,6.060808897018433,0.14800286293029785,0.0016977787017822266,0.00568516,0.0068992,0.00098,0.0078792,0.01356436
6,0.2,0.2,95,10,10,377,377,29,10,28.58528161048889,13.814133167266846,1.2636184692382812e-05,8.215240955352783,6.0762670040130615,0.15146160125732422,0.001739501953125,0.00568516,0.004736512,0.0006728,0.005409312,0.011094472
6,0.2,0.2,125,10,10,377,377,26,10,25.411133766174316,13.057533025741577,1.1682510375976562e-05,6.690351963043213,5.198312759399414,0.1541454792022705,0.0017502307891845703,0.00568516,0.003807232,0.0005408,0.004348032,0.010033192
6,0.2,0.4,65,10,21,377,377,32,21,30.904014348983765,14.449880599975586,9.5367431640625e-06,10.098440647125244,5.887452125549316,0.14835286140441895,0.004090547561645508,0.011938836,0.005767168,0.003612672,0.00937984,0.021318676
6,0.2,0.4,35,10,21,377,377,35,21,33.11633586883545,15.528807878494263,9.775161743164062e-06,10.793211698532104,6.306555509567261,0.15746855735778809,0.0040471553802490234,0.011938836,0.0068992,0.0043218,0.011221,0.023159836
6,0.2,0.4,95,10,21,377,377,29,21,26.077263832092285,12.029497861862183,1.1205673217773438e-05,8.279085397720337,5.320279598236084,0.1443772315979004,0.004031181335449219,0.011938836,0.004736512,0.002967048,0.00770356,0.019642396
6,0.2,0.4,125,10,21,377,377,26,21,25.206985473632812,12.14915132522583,1.239776611328125e-05,7.017132759094238,5.512362957000732,0.18013477325439453,0.003995418548583984,0.011938836,0.003807232,0.002384928,0.00619216,0.018130996
6,0.2,1.0,65,10,53,377,377,32,53,32.21900224685669,14.065181970596313,1.1682510375976562e-05,9.606271028518677,8.061663627624512,0.15109920501708984,0.008891105651855469,0.030131348,0.005767168,0.023011328,0.028778496,0.058909844
6,0.2,1.0,35,10,53,377,377,35,53,36.10336709022522,15.707014322280884,1.3113021850585938e-05,11.243126630783081,8.670095205307007,0.14914441108703613,0.008790254592895508,0.030131348,0.0068992,0.0275282,0.0344274,0.064558748
6,0.2,1.0,95,10,53,377,377,29,53,30.428104877471924,12.074501514434814,1.1205673217773438e-05,7.72050929069519,10.141631126403809,0.15234613418579102,0.009014129638671875,0.030131348,0.004736512,0.018898952,0.023635464,0.053766812
6,0.2,1.0,125,10,53,377,377,26,53,27.14178466796875,11.111540079116821,3.337860107421875e-06,6.122522592544556,9.391766786575317,0.1524810791015625,0.008692264556884766,0.030131348,0.003807232,0.015191072,0.018998304,0.049129652
6,0.2,0.8,65,10,42,377,377,32,42,36.879196882247925,15.128905057907104,1.621246337890625e-05,13.421805143356323,7.52825665473938,0.28263306617736816,0.011826276779174805,0.023877672,0.005767168,0.014450688,0.020217856,0.044095528
6,0.2,0.8,35,10,42,377,377,35,42,33.32460975646973,15.48343563079834,1.049041748046875e-05,10.51386547088623,6.730483293533325,0.22309446334838867,0.008390188217163086,0.023877672,0.0068992,0.0172872,0.0241864,0.048064072
6,0.2,0.8,95,10,42,377,377,29,42,36.684821128845215,16.087108373641968,1.5735626220703125e-05,11.517162561416626,8.443878889083862,0.17784714698791504,0.010783672332763672,0.023877672,0.004736512,0.011868192,0.016604704,0.040482376
6,0.2,0.8,125,10,42,377,377,26,42,27.070377826690674,11.316359043121338,1.0013580322265625e-05,7.167831182479858,7.915285587310791,0.19701242446899414,0.008858442306518555,0.023877672,0.003807232,0.009539712,0.013346944,0.037224616
6,0.2,0.7,65,10,37,377,377,32,37,29.316161394119263,12.669857501983643,9.059906005859375e-06,9.501818418502808,6.462319612503052,0.23118829727172852,0.0076751708984375,0.021035092,0.005767168,0.011214848,0.016982016,0.038017108
6,0.2,0.7,35,10,37,377,377,35,37,37.490742444992065,15.714685440063477,9.5367431640625e-06,14.463151216506958,6.817777872085571,0.15278053283691406,0.006602048873901367,0.021035092,0.0068992,0.0134162,0.0203154,0.041350492
6,0.2,0.7,95,10,37,377,377,29,37,29.54447627067566,13.712759971618652,1.1920928955078125e-05,8.2402822971344,7.131245136260986,0.14560842514038086,0.006402015686035156,0.021035092,0.004736512,0.009210632,0.013947144,0.034982236
6,0.2,0.7,125,10,37,377,377,26,37,25.11404061317444,11.275258541107178,1.049041748046875e-05,6.14155912399292,7.230420112609863,0.1482996940612793,0.006391763687133789,0.021035092,0.003807232,0.007403552,0.011210784,0.032245876
6,0.2,0.5,65,10,26,377,377,32,26,30.142443418502808,12.592670440673828,8.58306884765625e-06,9.769402503967285,7.1111741065979,0.22712016105651855,0.005453586578369141,0.014781416,0.005767168,0.005537792,0.01130496,0.026086376
6,0.2,0.5,35,10,26,377,377,35,26,33.751683712005615,15.843032360076904,1.2159347534179688e-05,11.482078075408936,5.93235182762146,0.14868521690368652,0.004690647125244141,0.014781416,0.0068992,0.0066248,0.013524,0.028305416
6,0.2,0.5,95,10,26,377,377,29,26,28.253124475479126,13.860018491744995,1.0013580322265625e-05,8.168556928634644,5.753406524658203,0.1489086151123047,0.004801750183105469,0.014781416,0.004736512,0.004548128,0.00928464,0.024066056
6,0.2,0.5,125,10,26,377,377,26,26,26.326538562774658,12.645473718643188,1.2159347534179688e-05,6.862430572509766,6.342336893081665,0.16067290306091309,0.004849910736083984,0.014781416,0.003807232,0.003655808,0.00746304,0.022244456
6,0.2,0.1,65,10,5,377,377,32,5,27.21198058128357,12.61924958229065,1.0728836059570312e-05,9.76584768295288,4.352345943450928,0.15210318565368652,0.001260995864868164,0.00284258,0.005767168,0.0002048,0.005971968,0.008814548
6,0.2,0.1,35,10,5,377,377,35,5,30.141009092330933,13.842226028442383,1.0967254638671875e-05,11.394019603729248,4.4625372886657715,0.1446986198425293,0.0009961128234863281,0.00284258,0.0068992,0.000245,0.0071442,0.00998678
